runtime,image,rep,startup_ms
bare,none,1,4.90
bare,none,2,6.18
bare,none,3,3.94
bare,none,4,6.85
bare,none,5,2.14
bare,none,6,1.33
bare,none,7,1.41
bare,none,8,1.41
bare,none,9,1.31
bare,none,10,1.53
docker,ubuntu,1,470.01
docker,ubuntu,2,460.36
docker,ubuntu,3,415.90
docker,ubuntu,4,426.87
docker,ubuntu,5,428.33
docker,ubuntu,6,496.38
docker,ubuntu,7,446.22
docker,ubuntu,8,367.48
docker,ubuntu,9,373.51
docker,ubuntu,10,342.12
docker,alpine,1,359.61
docker,alpine,2,363.52
docker,alpine,3,458.76
docker,alpine,4,451.16
docker,alpine,5,490.56
docker,alpine,6,426.57
docker,alpine,7,447.28
docker,alpine,8,364.79
docker,alpine,9,366.17
docker,alpine,10,433.02
podman,ubuntu,1,180.78
podman,ubuntu,2,207.97
podman,ubuntu,3,272.83
podman,ubuntu,4,217.33
podman,ubuntu,5,279.17
podman,ubuntu,6,265.19
podman,ubuntu,7,185.31
podman,ubuntu,8,239.13
podman,ubuntu,9,176.75
podman,ubuntu,10,192.60
podman,alpine,1,191.71
podman,alpine,2,194.82
podman,alpine,3,175.30
podman,alpine,4,178.70
podman,alpine,5,167.84
podman,alpine,6,188.72
podman,alpine,7,352.05
podman,alpine,8,347.39
podman,alpine,9,211.62
podman,alpine,10,230.97
