runtime,workload,rep,time_s
bare,hash,1,1.0354
bare,hash,2,1.0500
bare,hash,3,.9251
bare,hash,4,1.0027
bare,hash,5,1.0749
docker,hash,1,.7708
docker,hash,2,.8147
docker,hash,3,.8266
docker,hash,4,.7303
docker,hash,5,.7810
podman,hash,1,.8501
podman,hash,2,.8101
podman,hash,3,.7946
podman,hash,4,.8748
podman,hash,5,.8676
bare,sort,1,1.3921
bare,sort,2,1.4393
bare,sort,3,1.4159
bare,sort,4,1.3618
bare,sort,5,1.4592
docker,sort,1,1.3922
docker,sort,2,1.3851
docker,sort,3,1.5237
docker,sort,4,1.5532
docker,sort,5,1.6400
podman,sort,1,1.4666
podman,sort,2,1.4983
podman,sort,3,1.5333
podman,sort,4,1.5038
podman,sort,5,1.5490
