method,metric,rep,value
bare,startup_ms,1,1.3
docker,startup_ms,1,306.9
dind,startup_ms,1,338.4
podman,startup_ms,1,181.0
podman-nested,startup_ms,1,264.0
bare,startup_ms,2,1.3
docker,startup_ms,2,319.9
dind,startup_ms,2,350.0
podman,startup_ms,2,164.2
podman-nested,startup_ms,2,243.2
bare,startup_ms,3,1.2
docker,startup_ms,3,310.0
dind,startup_ms,3,341.9
podman,startup_ms,3,167.2
podman-nested,startup_ms,3,237.4
bare,startup_ms,4,1.4
docker,startup_ms,4,320.5
dind,startup_ms,4,329.1
podman,startup_ms,4,165.2
podman-nested,startup_ms,4,239.2
bare,cpu_s,1,.458
docker,cpu_s,1,.547
dind,cpu_s,1,.575
podman,cpu_s,1,.563
podman-nested,cpu_s,1,.746
bare,cpu_s,2,.471
docker,cpu_s,2,.525
dind,cpu_s,2,.588
podman,cpu_s,2,.564
podman-nested,cpu_s,2,.654
bare,cpu_s,3,.464
docker,cpu_s,3,.537
dind,cpu_s,3,.655
podman,cpu_s,3,.582
podman-nested,cpu_s,3,.741
bare,cpu_s,4,.473
docker,cpu_s,4,.536
dind,cpu_s,4,.568
podman,cpu_s,4,.553
podman-nested,cpu_s,4,.647
