runtime,metric,value
bare,startup_ms,1.4
bare,startup_ms,1.4
bare,startup_ms,1.2
bare,startup_ms,1.4
bare,startup_ms,1.1
bare,startup_ms,1.1
bare,startup_ms,1.8
bare,startup_ms,1.2
bare,startup_ms,1.2
bare,startup_ms,1.3
docker,startup_ms,313.9
docker,startup_ms,299.8
docker,startup_ms,305.1
docker,startup_ms,310.0
docker,startup_ms,312.9
docker,startup_ms,302.3
docker,startup_ms,299.8
docker,startup_ms,324.1
docker,startup_ms,308.5
docker,startup_ms,301.5
podman,startup_ms,152.8
podman,startup_ms,240.8
podman,startup_ms,165.1
podman,startup_ms,207.4
podman,startup_ms,207.5
podman,startup_ms,168.2
podman,startup_ms,164.9
podman,startup_ms,154.6
podman,startup_ms,160.5
podman,startup_ms,158.5
